Region ID,Region name (English),Subregion ID,Latitude,Longitude,Japanese name,English name,German name,French name,Spanish name,Italian name,Dutch name
,,20,36.66,138.195,長野県,Nagano,Nagano,Nagano,Nagano,Nagano,Nagano
,,21,37.91,139.052,新潟県,Niigata,Niigata,Niigata,Niigata,Niigata,Niigata
,,22,35.397,136.765,岐阜県,Gifu,Gifu,Gifu,Gifu,Gifu,Gifu
,,23,34.973,138.407,静岡県,Shizuoka,Shizuoka,Shizuoka,Shizuoka,Shizuoka,Shizuoka
,,24,35.167,136.968,愛知県,Aichi,Aichi,Aichi,Aichi,Aichi,Aichi
,,25,34.73,136.523,三重県,Mie,Mie,Mie,Mie,Mie,Mie
,,26,34.988,135.915,滋賀県,Shiga,Shiga,Shiga,Shiga,Shiga,Shiga
,,27,35.012,135.735,京都府,Kyoto,Kyoto,Kyoto,Kioto,Kyoto,Kyoto
,,28,34.678,135.522,大阪府,Osaka,Osaka,Osaka,Osaka,Osaka,Osaka
,,29,34.693,135.215,兵庫県,Hyogo,Hyogo,Hyogo,Hiogo,Hyogo,Hyogo
,,30,34.692,135.832,奈良県,Nara,Nara,Nara,Nara,Nara,Nara
,,31,34.227,135.167,和歌山県,Wakayama,Wakayama,Wakayama,Wakayama,Wakayama,Wakayama
,,32,35.485,134.24,鳥取県,Tottori,Tottori,Tottori,Totori,Tottori,Tottori
,,33,35.455,133.068,島根県,Shimane,Shimane,Shimane,Shimane,Shimane,Shimane
,,34,34.658,133.918,岡山県,Okayama,Okayama,Okayama,Okayama,Okayama,Okayama
,,35,34.395,132.465,広島県,Hiroshima,Hiroshima,Hiroshima,Hiroshima,Hiroshima,Hiroshima
,,36,34.157,131.458,山口県,Yamaguchi,Yamaguchi,Yamaguchi,Yamaguchi,Yamaguchi,Yamaguchi
,,37,34.065,134.577,徳島県,Tokushima,Tokushima,Tokushima,Tokushima,Tokushima,Tokushima
,,38,34.313,134.057,香川県,Kagawa,Kagawa,Kagawa,Kagawa,Kagawa,Kagawa
,,39,33.84,132.78,愛媛県,Ehime,Ehime,Ehime,Ehime,Ehime,Ehime
,,40,33.565,133.552,高知県,Kochi,Kochi,Kochi,Kochi,Kochi,Kochi
,,41,33.58,130.377,福岡県,Fukuoka,Fukuoka,Fukuoka,Fukuoka,Fukuoka,Fukuoka
,,42,33.242,130.305,佐賀県,Saga,Saga,Saga,Saga,Saga,Saga
,,43,32.732,129.87,長崎県,Nagasaki,Nagasaki,Nagasaki,Nagasaki,Nagasaki,Nagasaki
,,44,32.81,130.71,熊本県,Kumamoto,Kumamoto,Kumamoto,Kumamoto,Kumamoto,Kumamoto
,,45,33.232,131.62,大分県,Oita,Oita,Oita,Oita,Oita,Oita
,,46,31.935,131.417,宮崎県,Miyazaki,Miyazaki,Miyazaki,Miyazaki,Miyazaki,Miyazaki
,,47,31.552,130.552,鹿児島県,Kagoshima,Kagoshima,Kagoshima,Kagoshima,Kagoshima,Kagoshima
,,48,26.203,127.688,沖縄県,Okinawa,Okinawa,Okinawa,Okinawa,Okinawa,Okinawa
2,Antarctica,1,0,0,南極大陸,Antarctica,Antarktika,Antarctique,Antártida,Antartide,Antarctica
,,2,-77,150,ドロンニング・モード・ランド,Queen Maud Land,Königin-Maud-Land,Terre de la Reine-Maud,Tierra de la Reina Maud,Terra della Regina Maud,Koningin Maudland
,,3,-75,139,アデリーランド,Adélie Land,Adélieland,Terre Adélie,Tierra Adelia,Terra Adelia,Adélieland
,,4,-77,-27.5,コーツランド,Coats Land,Coatsland,Terre de Coats,Tierra de Coats,Terra di Coats,Coatsland
,,5,-75.5,-80,エルスワースランド,Ellsworth Land,Ellsworthland,Terre d'Ellsworth,Tierra de Ellsworth,Terra di Ellsworth,Ellsworthland
,,6,-67.5,53,エンダービーランド,Enderby Land,Enderbyland,Terre d'Enderby,Tierra de Enderby,Terra di Enderby,Enderbyland
,,7,-68.5,148,ジョージ5世ランド,George V Land,Georg-V.-Land,Terre de George V,Tierra de Jorge V,Terra di Giorgio V,George V-land
,,8,-66,-63.5,グレアムランド,Graham Land,Grahamland,Terre de Graham,Tierra de Graham,Terra di Graham,Grahamland
,,9,-67.5,57.5,ケンプランド,Kemp Land,Kempland,Terre de Kemp,Tierra de Kemp,Terra di Kemp,Kempland
,,10,-77.6667,-155,エドワード7世ランド,King Edward VII Land,Edward-VII-Halbinsel,Terre du Roi-Édouard-VII,Tierra del Rey Eduardo VII,Terra di re Edoardo VII,Edward VII-land
,,11,-70,65,マック・ロバートソン・ランド,Mac. Robertson Land,Mac-Robertson-Land,Terre de Mac. Robertson,Tierra de Mac. Robertson,Terra di Mac Robertson,Mac Robertsonland
,,12,-80,-120,マリーバードランド,Marie Byrd Land,Marie-Byrd-Land,Terre Marie Byrd,Tierra de Marie Byrd,Terra di Marie Byrd,Marie Byrdland
,,13,-69.5,159,オーツランド,Oates Land,Oatesland,Terre de Oates,Tierra de Oates,Terra di Oates,Oatesland
,,14,-71.5,-65,パーマーランド,Palmer Land,Palmerland,Terre de Palmer,Tierra de Palmer,Terra di Palmer,Palmerland
,,15,-80,78,プリンセス・エリザベス・ランド,Princess Elizabeth Land,Prinzessin-Elisabeth-Land,Terre de la Princesse-Élisabeth,Tierra de la Princesa Isabel,Terra della Principessa Elisabetta,Prinses Elizabethland
,,16,-66.75,96,クイーン・メアリー・ランド,Queen Mary Land,Königin-Marie-Land,Terre de la Reine-Mary,Tierra de la Reina Mary,Terra della Regina Maria,Koningin Maryland
,,17,-71.25,163,ヴィクトリアランド,Victoria Land,Viktorialand,Terre Victoria,Tierra de Victoria,Terra della Regina Vittoria,Victorialand
,,18,-67,90,カイザー・ヴィルヘルム2世ランド,Wilhelm II Land,Kaiser-Wilhelm-II.-Land,Terre Guillaume-II,Tierra de Guillermo II,Terra di Guglielmo II,Keizer Wilhelm II-land
,,19,-69,120,ウィルクスランド,Wilkes Land,Wilkesland,Terre de Wilkes,Tierra de Wilkes,Terra di Wilkes,Wilkesland
3,Caribbean Netherlands,1,0,0,ボネール、シント・ユースタティウスおよびサバ,Caribbean Netherlands,Karibische Niederlande,Pays-Bas caribéens,Caribe Neerlandés,Paesi Bassi caraibici,Caribisch Nederland
,,2,12.144444,-68.265556,ボネール島,Bonaire,Bonaire,Bonaire,Bonaire,Bonaire,Bonaire
,,3,17.626111,-63.249167,サバ島,Saba,Saba,Saba,Saba,Saba,Saba
,,4,17.483333,-62.983333,シント・ユースタティウス島,Sint Eustatius,Sint Eustatius,Saint-Eustache,San Eustaquio,Sint Eustatius,
4,Falkland Islands,1,0,0,フォークランド諸島,Falkland Islands,Falklandinseln,Îles Malouines,Islas Malvinas,Isole Falkland,Falklandeilanden
,,2,-51.694444,-57.852778,東フォークランド島,East Falkland,Ostfalkland,Malouine orientale,Isla Soledad,Falkland Orientale,Oost-Falkland
,,3,-51.617,-59.5,西フォークランド島,West Falkland,Westfalkland,Grande Malouine,Isla Gran Malvina,Falkland Occidentale,West-Falkland
5,Scotland,1,0,0,スコットランド,Scotland,Schottland,Ecosse,Escocia,Scozia,Schotland
,,2,55.953,-3.189,エディンバラ,Edinburgh,Edinburgh,Édimbourg,Edimburgo,Edimburgo,Edinburgh
,,3,57.15,-2.11,アバディーン,Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen,Aberdeen
,,4,57.151,-2.123,アバディーンシャー,Aberdeenshire,Aberdeenshire,Aberdeenshire,Aberdeenshire,Aberdeenshire,Aberdeenshire
,,5,56.64423,-2.88842,アンガス,Angus,Angus,Angus,Angus,Angus,Angus
,,6,56.038292,-5.432345,アーガイル・アンド・ビュート,Argyll and Bute,Argyll and Bute,Argyll and Bute,Argyll y Bute,Argyll e Bute,Argyll and Bute
,,7,56.116,-3.793,クラックマナンシャー,Clackmannanshire,Clackmannanshire,Clackmannanshire,Clackmannanshire,Clackmannanshire,Clackmannanshire
,,8,55.07,-3.603,ダンフリーズ・アンド・ガロウェイ,Dumfries and Galloway,Dumfries and Galloway,Dumfries and Galloway,Dumfries and Galloway,Dumfries e Galloway,Dumfries and Galloway
,,9,56.462,-2.9707,ダンディー,Dundee,Dundee,Dundee,Dundee,Dundee,Dundee
,,10,55.61106,-4.49571,イースト・エアシャー,East Ayrshire,East Ayrshire,East Ayrshire,East Ayrshire,Ayrshire Orientale,East Ayrshire
,,11,55.93568,-4.15469,イースト・ダンバートンシャー,East Dunbartonshire,East Dunbartonshire,East Dunbartonshire,East Dunbartonshire,Dunbartonshire Orientale,East Dunbartonshire
,,12,55.958,-2.774,イースト・ロージアン,East Lothian,East Lothian,East Lothian,East Lothian,East Lothian,East Lothian
,,13,55.805109,-4.29461,イースト・レンフルーシャー,East Renfrewshire,East Renfrewshire,East Renfrewshire,East Renfrewshire,Renfrewshire Orientale,East Renfrewshire
,,14,56.0011,-3.7835,フォルカーク,Falkirk,Falkirk,Falkirk,Falkirk,Falkirk,Falkirk
,,15,56.198,-3.178,ファイフ,Fife,Fife,Fife,Fife,Fife,Fife
,,16,55.860916,-4.251433,グラスゴー,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow,Glasgow
,,17,57.4718,-4.2254,ハイランド,Highland,Highland,Highland,Highland,Highland,Highland
,,18,55.95,-4.765,インヴァークライド,Inverclyde,Inverclyde,Inverclyde,Inverclyde,Inverclyde,Inverclyde
,,19,55.8958,-3.0583,ミッドロージアン,Midlothian,Midlothian,Midlothian,Midlothian,Midlothian,Midlothian
,,20,57.65,-3.315,マレー,Moray,Moray,Moray,Moray,Moray,Moray
,,21,58.209,-6.387,アウター・ヘブリディーズ,Na h-Eileanan Siar,Äußere Hebriden,Hébrides extérieures,Islas Hébridas Exteriores,Ebridi Esterne,Buiten-Hebriden
,,22,55.6201,-4.6614,ノース・エアシャー,North Ayrshire,North Ayrshire,North Ayrshire,North Ayrshire,Ayrshire Settentrionale,North Ayrshire
,,23,55.7839,-3.9852,ノース・ラナークシャー,North Lanarkshire,North Lanarkshire,North Lanarkshire,North Lanarkshire,Lanarkshire Settentrionale,North Lanarkshire
,,24,58.981,-2.96,オークニー諸島,Orkney Islands,Orkney,Orcades,Orcadas,Isole Orcadi,Orkneyeilanden
,,25,56.397,-3.437,パース・アンド・キンロス,Perth and Kinross,Perth and Kinross,Perth and Kinross,Perth and Kinross,Perth e Kinross,Perth and Kinross
,,26,55.846627,-4.423636,レンフルーシャー,Renfrewshire,Renfrewshire,Renfrewshire,Renfrewshire,Renfrewshire,Renfrewshire
,,27,55.58,-2.65,スコティッシュ・ボーダーズ,Scottish Borders,Scottish Borders,Scottish Borders,Scottish Borders,Scottish Borders,Scottish Borders
,,28,60.155,-1.145,シェトランド諸島,Shetland Islands,Shetland,Shetland,Islas Shetland,Isole Shetland,Shetlandeilanden
,,29,55.458564,-4.629179,サウス・エアシャー,South Ayrshire,South Ayrshire,South Ayrshire,South Ayrshire,Ayrshire Meridionale,South Ayrshire
,,30,55.777,-4.039,サウス・ラナークシャー,South Lanarkshire,South Lanarkshire,South Lanarkshire,South Lanarkshire,Lanarkshire Meridionale,South Lanarkshire
,,31,56.1166,-3.9369,スターリング,Stirling,Stirling,Stirling,Stirling,Stirling,Stirling
,,32,55.95,-4.566667,ウェスト・ダンバートンシャー,West Dunbartonshire,West Dunbartonshire,West Dunbartonshire,West Dunbartonshire,Dunbartonshire Occidentale,West Dunbartonshire
,,33,55.8834,-3.5157,ウェスト・ロージアン,West Lothian,West Lothian,West Lothian,West Lothian,Lothian Occidentale,West Lothian
6,Wales,1,0,0,ウェールズ,Wales,Wales,Pays de Galles,Gales,Galles,Wales
,,2,51.483333,-3.183333,カーディフ,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff,Cardiff
,,3,53.256,-4.314,アングルシー島,Anglesey,Anglesey,Anglesey,Anglesey,Anglesey,Anglesey
,,4,51.7779,-3.2117,ブライナイ・グエント,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent,Blaenau Gwent
,,5,51.5072,-3.5784,ブリジェンド,Bridgend,Bridgend,Bridgend,Bridgend,Bridgend,Bridgend
,,6,51.578,-3.218,ケアフィリ,Caerphilly,Caerphilly,Caerphilly,Caerphilly,Caerphilly,Caerphilly
,,7,51.856,-4.316,カーマーゼンシャー,Carmarthenshire,Carmarthenshire,Carmarthenshire,Carmarthenshire,Carmarthenshire,Carmarthenshire
,,8,52.24204,-4.25921,ケレディジョン,Ceredigion,Ceredigion,Ceredigion,Ceredigion,Ceredigion,Ceredigion
,,9,53.28,-3.83,コンウィ,Conwy,Conwy,Conwy,Conwy,Conwy,Conwy
,,10,53.115,-3.312,デンビーシャー,Denbighshire,Denbighshire,Denbighshire,Denbighshire,Denbighshire,Denbighshire
,,11,53.166,-3.133,フリントシャー,Flintshire,Flintshire,Flintshire,Flintshire,Flintshire,Flintshire
,,12,53.14,-4.27,グウィネズ,Gwynedd,Gwynedd,Gwynedd,Gwynedd,Gwynedd,Gwynedd
,,13,51.743,-3.378,マーサー・ティドビル,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil,Merthyr Tydfil
,,14,51.704,-2.902,モンマスシャー,Monmouthshire,Monmouthshire,Monmouthshire,Monmouthshire,Monmouthshire,Monmouthshire
,,15,51.59055,-3.79859,ニース・ポート・タルボット,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot,Neath Port Talbot
,,16,51.583333,-3,ニューポート,Newport,Newport,Newport,Newport,Newport,Newport
,,17,51.8,-4.97,ペンブルックシャー,Pembrokeshire,Pembrokeshire,Pembrokeshire,Pembrokeshire,Pembrokeshire,Pembrokeshire
,,18,52.24354,-3.38547,ポーイス,Powys,Powys,Powys,Powys,Powys,Powys
,,19,51.626758,-3.471919,ロンザ・カノン・タフ,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf,Rhondda Cynon Taf
,,20,51.616667,-3.95,スウォンジー,Swansea,Swansea,Swansea,Swansea,Swansea,Swansea
,,21,51.703,-3.041,トルヴァエン,Torfaen,Torfaen,Torfaen,Torfaen,Torfaen,Torfaen
,,22,51.405,-3.27,ヴェール・オブ・グラモーガン,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan,Vale of Glamorgan
,,23,53.046,-2.993,レクサム,Wrexham,Wrexham,Wrexham,Wrexham,Wrexham,Wrexham
7,Sint Maarten,1,18.033333,-63.05,シント・マールテン,Sint Maarten,Sint Maarten,Saint-Martin (Pays-Bas),San Martín (Países Bajos),Sint Maarten,Sint Maarten
8,Anguilla,1,18.2166667,-63.05,アンギラ,Anguilla,Anguilla,Anguilla,Anguila,Anguilla,Anguilla
9,Antigua and Barbuda,1,0,0,アンティグア・バーブーダ,Antigua and Barbuda,Antigua und Barbuda,Antigua-et-Barbuda,Antigua y Barbuda,Antigua e Barbuda,Antigua en Barbuda
,,2,17.1166667,-61.85,セント・ジョン,Saint John,Saint John,Saint-Jean,Saint John,Saint John,Saint John
,,3,17.6333333,-61.8333333,バーブーダ島,Barbuda,Barbuda,Barbuda,Barbuda,Barbuda,Barbuda
,,4,17.1333333,-61.8,セント・ジョージ,Saint George,Saint George,Saint-Georges,Saint George,Saint George,Saint George
,,5,17.0333333,-61.8833333,セント・メアリー,Saint Mary,Saint Mary,Sainte-Marie,Saint Mary,Saint Mary,Saint Mary
,,6,17.0333333,-61.7833333,セント・ポール,Saint Paul,Saint Paul,Saint-Paul,Saint Paul,Saint Paul,Saint Paul
,,7,17.0833333,-61.7666667,セント・ピーター,Saint Peter,Saint Peter,Saint-Pierre,Saint Peter,Saint Peter,Saint Peter
,,8,17.05,-61.7,セント・フィリップ,Saint Philip,Saint Philip,Saint-Philippe,Saint Philip,Saint Philip,Saint Philip
10,Argentina,1,0,0,アルゼンチン,Argentina,Argentinien,Argentine,Argentina,Argentina,Argentinië
,,2,-34.5875,-58.6725,特別区,Distrito Federal,Bundesdistrikt,District Fédéral,Distrito Federal,Distretto Federale,Federaal District
,,3,-34.9313889,-57.9488889,ブエノスアイレス州,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires,Buenos Aires
,,4,-28.4666667,-65.7833333,カタマルカ州,Catamarca,Catamarca,Catamarca,Catamarca,Catamarca,Catamarca
,,5,-27.45,-58.9833333,チャコ州,Chaco,Chaco,Chaco,Chaco,Chaco,Chaco
,,6,-43.3,-65.1,チュブト州,Chubut,Chubut,Chubut,Chubut,Chubut,Chubut
,,7,-31.4,-64.1833333,コルドバ州,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba,Córdoba
,,8,-27.4666667,-58.8333333,コリエンテス州,Corrientes,Corrientes,Corrientes,Corrientes,Corrientes,Corrientes
,,9,-31.7333333,-60.5333333,エントレ・リオス州,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos,Entre Ríos
,,10,-26.1833333,-58.1833333,フォルモサ州,Formosa,Formosa,Formosa,Formosa,Formosa,Formosa
,,11,-24.1833333,-65.3,フフイ州,Jujuy,Jujuy,Jujuy,Jujuy,Jujuy,Jujuy
,,12,-36.6166667,-64.2833333,ラ・パンパ州,La Pampa,La Pampa,La Pampa,La Pampa,La Pampa,La Pampa
,,13,-29.4333333,-66.85,ラ・リオハ州,La Rioja,La Rioja,La Rioja,La Rioja,La Rioja,La Rioja
,,14,-32.8833333,-68.8166667,メンドーサ州,Mendoza,Mendoza,Mendoza,Mendoza,Mendoza,Mendoza
,,15,-27.3833333,-55.8833333,ミシオネス州,Misiones,Misiones,Misiones,Misiones,Misiones,Misiones
,,16,-38.95,-68.0666667,ネウケン州,Neuquén,Neuquén,Neuquén,Neuquén,Neuquén,Neuquén
,,17,-40.8,-63,リオネグロ州,Río Negro,Río Negro,Río Negro,Río Negro,Río Negro,Río Negro
,,18,-24.7833333,-65.4166667,サルタ州,Salta,Salta,Salta,Salta,Salta,Salta
,,19,-31.5375,-68.5363889,サン・フアン州,San Juan,San Juan,San Juan,San Juan,San Juan,San Juan
,,20,-33.3,-66.35,サン・ルイス州,San Luis,San Luis,San Luis,San Luis,San Luis,San Luis
,,21,-51.6333333,-69.2166667,サンタ・クルス州,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz
,,22,-31.6333333,-60.7,サンタ・フェ州,Santa Fe,Santa Fe,Santa Fe,Santa Fe,Santa Fe,Santa Fe
,,23,-27.7833333,-64.2666667,サンティアゴ・デル・エステロ州,Santiago del Estero,Santiago del Estero,Santiago del Estero,Santiago del Estero,Santiago del Estero,Santiago del Estero
,,24,-54.8,-68.3,ティエラ・デル・フエゴ州,"Tierra del Fuego, Antártida e Islas del Atlántico Sur",Feuerland,Terre de Feu,"Tierra del Fuego, Antártida e Islas del Atlántico Sur","Terra del Fuoco, Antartide e Isole dell'Atlantico Sud ","Vuurland, Antarctica en Zuid-Atlantische eilanden"
,,25,-26.8166667,-65.2166667,トゥクマン州,Tucumán,Tucumán,Tucuman,Tucumán,Tucumán,Tucumán
11,Aruba,1,12.5166667,-70.0333333,アルバ,Aruba,Aruba,Aruba,Aruba,Aruba,Aruba
12,Bahamas,1,25.0833333,-77.35,バハマ,Bahamas,Bahamas,Bahamas,Bahamas,Bahamas,Bahama's
13,Barbados,1,13.1,-59.6166667,バルバドス,Barbados,Barbados,Barbade,Barbados,Barbados,Barbados
14,Belize,1,0,0,ベリーズ,Belize,Belize,Belize,Belice,Belize,Belize
,,2,17.25,-88.7666667,カヨー州,Cayo,Cayo,Cayo,Cayo,Cayo,Cayo
,,3,17.4833333,-88.1833333,ベリーズ州,Belize,Belize,Belize,Belice,Belize,Belize
,,4,18.3833333,-88.3833333,コロサル州,Corozal,Corozal,Corozal,Corozal,Corozal,Corozal
,,5,18.0666667,-88.55,オレンジウォーク州,Orange Walk,Orange Walk,Orange Walk,Orange Walk,Orange Walk,Orange Walk
,,6,16.9666667,-88.2166667,スタンクリーク州,Stann Creek,Stann Creek,Stann Creek,Stann Creek,Stann Creek,Stann Creek
,,7,16.1,-88.8,トレド州,Toledo,Toledo,Toledo,Toledo,Toledo,Toledo
15,Bolivia,1,0,0,ボリビア,Bolivia,Bolivien,Bolivie,Bolivia,Bolivia,Bolivia
,,2,-16.5,-68.15,ラパス県,La Paz,La Paz,La Paz,La Paz,La Paz,La Paz
,,3,-19.0430556,-65.2591667,チュキサカ県,Chuquisaca,Chuquisaca,Chuquisaca,Chuquisaca,Chuquisaca,Chuquisaca
,,4,-17.3833333,-66.15,コチャバンバ県,Cochabamba,Cochabamba,Cochabamba,Cochabamba,Cochabamba,Cochabamba
,,5,-14.8333333,-64.9,ベニ県,El Beni,Beni,Beni,El Beni,El Beni,Beni
,,6,-17.9833333,-67.15,オルロ県,Oruro,Oruro,Oruro,Oruro,Oruro,Oruro
,,7,-11.0333333,-68.7333333,パンド県,Pando,Pando,Pando,Pando,Pando,Pando
,,8,-19.5836111,-65.7530556,ポトシ県,Potosí,Potosí,Potosí,Potosí,Potosí,Potosí
,,9,-17.8,-63.1666667,サンタ・クルス県,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz,Santa Cruz
,,10,-21.5166667,-64.75,タリハ県,Tarija,Tarija,Tarija,Tarija,Tarija,Tarija
16,Brazil,1,0,0,ブラジル,Brazil,Brasilien,Brésil,Brasil,Brasile,Brazilië
,,2,-15.7833333,-47.9166667,ディストリト・フェデラル州,Distrito Federal,Bundesdistrikt,District Fédéral,Distrito Federal,Distretto Federale,Federaal District
,,3,-9.9666667,-67.8,アクレ州,Acre,Acre,Acre,Acre,Acre,Acre
,,4,-9.6666667,-35.7166667,アラゴアス州,Alagoas,Alagoas,Alagoas,Alagoas,Alagoas,Alagoas
,,5,0.0333333,-51.05,アマパー州,Amapá,Amapá,Amapá,Amapá,Amapá,Amapá
,,6,-3.1133333,-60.0252778,アマゾナス州,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas,Amazonas
,,7,-12.9833333,-38.5166667,バイア州,Bahia,Bahia,Bahia,Bahía,Bahia,Bahia
,,8,-3.7737,-38.5748,セアラ州,Ceará,Ceará,Ceará,Ceará,Ceará,Ceará
,,9,-20.3166667,-40.35,エスピリト・サント州,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo,Espírito Santo
,,10,-20.45,-54.6166667,マット・グロッソ・ド・スル州,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso do Sul,Mato Grosso del Sud,Mato Grosso do Sul
,,11,-2.5166667,-44.2666667,マラニョン州,Maranhão,Maranhão,Maranhao,Maranhão,Maranhão,Maranhão
,,12,-15.5833333,-56.0833333,マット・グロッソ州,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso,Mato Grosso
,,13,-19.9166667,-43.9333333,ミナス・ジェライス州,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais,Minas Gerais
,,14,-1.45,-48.4833333,パラー州,Pará,Pará,Pará,Pará,Pará,Pará
,,15,-7.1166667,-34.8666667,パライーバ州,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba,Paraíba
,,16,-25.4166667,-49.25,パラナ州,Paraná,Paraná,Paraná,Paraná,Paraná,Paraná
,,17,-5.0833333,-42.8166667,ピアウイー州,Piauí,Piauí,Piaui,Piauí,Piauí,Piauí
,,18,-22.9,-43.2333333,リオ・デ・ジャネイロ州,Rio de Janeiro,Rio de Janeiro,Etat de Rio de Janeiro,Río de Janeiro,Rio de Janeiro,Rio de Janeiro
,,19,-5.7833333,-35.2166667,リオ・グランデ・ド・ノルテ州,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande do Norte,Rio Grande del Nord,Rio Grande do Norte
,,20,-30.0333333,-51.2,リオ・グランデ・ド・スル州,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul,Rio Grande do Sul
,,21,-8.7666667,-63.9,ロンドニア州,Rondônia,Rondônia,Rondônia,Rondônia,Rondônia,Rondônia
,,22,2.8166667,-60.6666667,ロライマ州,Roraima,Roraima,Roraima,Roraima,Roraima,Roraima
,,23,-27.5833333,-48.5666667,サンタ・カタリーナ州,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina,Santa Catarina
,,24,-23.5333333,-46.6166667,サン・パウロ州,São Paulo,São Paulo,Etat de São Paulo,São Paulo,San Paolo,São Paulo
,,25,-10.9166667,-37.0666667,セルジッペ州,Sergipe,Sergipe,Sergipe,Sergipe,Sergipe,Sergipe
,,26,-16.66758366,-49.26460505,ゴイアス州,Goiás,Goiás,Goias,Goiás,Goiás,Goiás
,,27,-8.05,-34.9,ペルナンブコ州,Pernambuco,Pernambuco,Pernambouc,Pernambuco,Pernambuco,Pernambuco
,,28,-10.2227778,-48.2777778,トカンティンス州,Tocantins,Tocantins,Tocantins,Tocantins,Tocantins,Tocantins
17,British Virgin Islands,1,0,0,イギリス領ヴァージン諸島,British Virgin Islands,Britische Jungferninseln,Îles Vierges britanniques,Islas Vírgenes Británicas,Isole Vergini Britanniche,Britse Maagdeneilanden
,,2,18.431389,-64.623056,トルトラ島,Tortola,Tortola,Tortola,Tórtola,Tortola,Tortola
,,3,18.718611,-64.316944,アネガダ島,Anegada,Anegada,Anegada,Anegada,Anegada,Anegada
,,4,18.45,-64.75,ヨスト・ヴァン・ダイク島,Jost Van Dyke,Jost Van Dyke,Jost Van Dyke,Jost Van Dyke,Jost Van Dyke,Jost Van Dyke
